站序,站名,到达时间,发车时间,耗时,停靠时间,
1,上海虹桥,始发站,07:22,00:00,0分钟,
2,嘉兴南,07:49,07:51,00:27,2分钟,
3,桐乡,08:02,08:04,00:40,2分钟,
4,杭州东,08:21,08:25,00:59,4分钟,
5,义乌,08:57,08:59,01:35,2分钟,
6,金华,09:15,09:18,01:53,3分钟,
7,衢州,09:39,09:46,02:17,7分钟,
8,上饶,10:13,10:15,02:51,2分钟,
9,鹰潭北,10:41,10:43,03:19,2分钟,
10,南昌西,11:18,11:21,03:56,3分钟,
11,萍乡北,12:17,12:19,04:55,2分钟,
12,长沙南,12:49,12:55,05:27,6分钟,
13,湘潭北,13:09,13:11,05:47,2分钟,
14,娄底南,13:37,13:39,06:15,2分钟,
15,新化南,14:03,14:05,06:41,2分钟,
16,怀化南,14:38,14:41,07:16,3分钟,
17,新晃西,15:05,15:07,07:43,2分钟,
18,凯里南,15:48,15:50,08:26,2分钟,
19,贵阳北,16:25,16:31,09:03,6分钟,
20,安顺西,17:02,17:04,09:40,2分钟,
21,关岭,17:19,17:21,09:57,2分钟,
22,盘州,18:07,18:14,10:45,7分钟,
23,富源北,18:37,18:40,11:15,3分钟,
24,曲靖北,18:58,19:07,11:37,9分钟,
25,昆明南,19:46,终点站,12:25,1分钟,
